"flight_id","origin_airport_id","destination_airport_id","airline_id","passengers","freight","mail","distance","ramp_to_ramp","air_time","seats","payload","aircraft_group","aircraft_type","aircraft_config","class"
522,11292,11603,20304,528,0,0,996,2006,1761,600,158500,6,629,1,"F"
523,11292,11603,20304,1058,0,0,996,3120,2687,1368,273600,6,673,1,"F"
524,11292,11618,19393,1144,1096,0,1605,1470,1315,1225,303800,6,614,1,"F"
525,11292,11618,19393,8701,21837,0,1605,14862,13226,9867,2387400,6,612,1,"F"
526,11292,11618,19977,346,568,3821,1605,653,547,384,101729,6,698,1,"F"
527,11292,11618,19977,1483,31037,37,1605,1012,900,1820,494650,6,627,1,"F"
528,11292,11618,19977,6450,9437,18913,1605,10449,9090,7050,1642081,6,694,1,"F"
529,11292,11618,19977,7386,10665,44602,1605,10709,9213,8112,2261341,6,622,1,"F"
530,11292,11618,19977,9640,24015,58720,1605,14802,12718,10706,2562393,6,614,1,"F"
531,11292,11618,19977,13156,16135,33889,1605,18739,16083,15036,3429562,6,634,1,"F"
532,11292,11637,20237,1038,0,0,627,2936,2363,1400,311304,6,675,1,"F"
533,11292,11637,20304,2780,0,0,627,9144,7132,4050,1076000,6,629,1,"F"
534,11292,11638,20304,1379,0,0,844,3533,2888,1748,349600,6,673,1,"F"
535,11292,11638,20304,1635,0,0,844,4205,3476,2100,560960,6,631,1,"F"
536,11292,11638,20304,2710,0,0,844,9747,8099,3350,887000,6,629,1,"F"
537,11292,11648,19977,545,119,0,752,473,405,600,140058,6,694,1,"F"
538,11292,11648,19977,4866,2812,0,752,5368,4457,5376,1450992,6,698,1,"F"
539,11292,11648,20304,314,0,0,752,615,508,350,93700,6,631,1,"F"
540,11292,11648,20304,651,0,0,752,1213,981,684,136800,6,673,1,"F"
541,11292,11697,19393,801,0,0,1703,1336,1240,858,207600,6,612,1,"F"
542,11292,11697,19393,5383,6857,0,1703,7572,6824,5775,1432200,6,614,1,"F"
543,11292,11697,19977,126,0,0,1703,215,203,128,32862,6,698,1,"F"
544,11292,11697,19977,1240,47,0,1703,1881,1695,1328,320716,6,614,1,"F"
545,11292,11697,19977,2821,182,0,1703,4590,4250,3150,760416,6,694,1,"F"
546,11292,11697,19977,3898,493,0,1703,5314,4840,4117,938261,6,634,1,"F"
547,11292,11697,20416,5775,0,0,1703,6147,5620,6384,1276800,6,699,1,"F"
548,11292,11711,20358,385,0,0,289,3813,3048,855,202500,4,405,1,"F"
549,11292,11775,19790,150,32,0,483,152,126,158,38470,6,656,1,"F"
550,11292,11775,19977,1089,56,0,483,892,688,1648,399617,6,614,1,"F"
551,11292,11775,19977,1873,12,0,483,1706,1318,2560,703814,6,698,1,"F"
552,11292,11775,19977,2539,164,0,483,1666,1280,3000,719949,6,694,1,"F"
553,11292,11775,20237,251,0,0,483,538,404,300,66708,6,675,1,"F"
554,11292,11775,20304,1445,0,0,483,3039,2289,1650,442000,6,629,1,"F"
555,11292,11775,20304,1538,0,0,483,2454,1791,1976,395200,6,673,1,"F"
556,11292,11775,20436,3723,0,0,483,2096,1555,4320,868800,6,694,1,"F"
557,11292,11865,20304,2215,0,0,313,4005,2687,2800,749000,6,629,1,"F"
558,11292,11884,19393,265,431,0,836,267,237,286,64400,6,619,1,"F"
559,11292,11884,19393,1209,1918,0,836,1097,955,1400,347200,6,614,1,"F"
560,11292,11884,19393,6379,10330,0,836,7213,6272,7722,1868400,6,612,1,"F"
561,11292,11884,19977,269,46,0,836,271,230,300,73424,6,694,1,"F"
562,11292,11884,19977,528,136,0,836,665,587,640,179937,6,698,1,"F"
563,11292,11884,19977,2451,370,0,836,2692,2322,3308,833604,6,614,1,"F"
564,11292,11884,19977,4558,1502,0,836,3786,3223,5191,1268046,6,634,1,"F"
565,11292,11884,20304,188,0,0,836,619,516,200,54000,6,629,1,"F"
566,11292,11921,20237,2586,0,0,212,3952,2481,3200,711552,6,675,1,"F"
567,11292,11921,20304,87,0,0,212,134,83,152,30400,6,673,1,"F"
568,11292,11921,20304,430,0,0,212,383,257,490,131180,6,631,1,"F"
569,11292,11921,20304,2496,0,0,212,4257,2572,3400,914500,6,629,1,"F"
570,11292,11973,19393,143,0,0,1095,170,156,143,34600,6,612,1,"F"
571,11292,11986,19393,128,96,0,1015,145,128,143,32200,6,619,1,"F"
572,11292,11986,19393,3896,1841,0,1015,4072,3524,4147,1003400,6,612,1,"F"
573,11292,11986,19977,727,0,0,1015,862,719,900,218358,6,694,1,"F"
574,11292,11986,19977,4159,189,0,1015,5059,4362,4608,1282143,6,698,1,"F"
575,11292,11986,20237,503,0,0,1015,1742,1447,550,122298,6,675,1,"F"
576,11292,11986,20304,69,0,0,1015,169,137,76,15200,6,673,1,"F"
577,11292,11986,20304,203,0,0,1015,406,350,210,54980,6,631,1,"F"
578,11292,11986,20500,133,0,0,1015,286,241,140,35220,6,631,1,"F"
579,11292,11995,20436,1820,0,0,1370,2557,2231,1950,390000,6,698,1,"F"
580,11292,11996,19393,132,0,0,1278,225,210,143,34600,6,612,1,"F"
581,11292,11996,20201,0,0,0,1278,181,167,0,21458,6,635,2,"P"
582,11292,12003,20237,637,0,0,624,1635,1349,750,166770,6,675,1,"F"
583,11292,12003,20304,91,0,0,624,236,191,152,30400,6,673,1,"F"
584,11292,12003,20304,2787,0,0,624,7755,6097,3250,870500,6,629,1,"F"
585,11292,12012,20237,371,0,0,152,508,315,400,88944,6,675,1,"F"
586,11292,12094,20237,298,0,0,141,387,216,350,77826,6,675,1,"F"
587,11292,12094,20500,1245,0,0,141,1194,634,1610,405030,6,631,1,"F"
588,11292,12156,20304,1231,0,0,594,3347,2703,1500,401500,6,629,1,"F"
589,11292,12173,19977,9692,64061,94184,3365,12598,11911,10920,2836187,6,627,1,"F"
590,11292,12191,19393,1010,817,0,883,1123,968,1138,257600,6,619,1,"F"
591,11292,12191,19393,9579,15791,0,883,10528,9045,11297,2733400,6,612,1,"F"
592,11292,12191,19393,13559,10507,0,883,11232,9595,14350,3558800,6,614,1,"F"
593,11292,12217,20237,1222,0,0,1048,4599,3906,1500,333540,6,675,1,"F"
594,11292,12255,20304,828,0,0,298,3389,2270,2550,681500,6,629,1,"F"
595,11292,12264,19393,1806,2751,0,1452,2060,1860,1925,477400,6,614,1,"F"
596,11292,12264,19393,10120,39030,0,1452,14007,12594,10582,2560400,6,612,1,"F"
597,11292,12264,19977,200,0,0,1452,199,179,242,100549,6,624,1,"F"
598,11292,12264,19977,1532,384,1871,1452,2082,1848,1650,394420,6,694,1,"F"
599,11292,12264,19977,10852,5354,16114,1452,12592,11072,11623,2798345,6,634,1,"F"
600,11292,12264,19977,22682,28347,53760,1452,27707,24609,24164,5946599,6,614,1,"F"
601,11292,12264,20436,4253,0,0,1452,5717,5053,4500,900000,6,698,1,"F"
602,11292,12266,19977,126,0,75,862,140,113,214,82777,6,626,1,"F"
603,11292,12266,19977,2160,517,1185,862,2499,2059,2304,614952,6,698,1,"F"
604,11292,12266,19977,8385,468,4591,862,8034,6697,10191,2537143,6,634,1,"F"
605,11292,12266,19977,11879,4464,725,862,10623,8866,12946,3212346,6,614,1,"F"
606,11292,12266,19977,21654,12202,11290,862,22301,18641,24600,5802202,6,694,1,"F"
607,11292,12266,20304,0,0,0,862,133,118,76,15200,6,673,1,"F"
608,11292,12266,20416,4442,0,0,862,3961,3283,5220,1049800,6,694,1,"F"
609,11292,12266,20436,178,0,0,862,183,109,180,36000,6,694,1,"F"
610,11292,12266,20436,11739,0,0,862,8328,6792,13570,2714000,6,699,1,"F"
