"path_data_id","airline_id","passengers","freight","mail","air_time","seats","payload","class","path_id","ramp_distance_id","aircraft_type_id","aircraft_config_id"
243,20304,530,0,0,1243,560,149920,"F",290,1431,631,1
244,20304,1650,0,0,3722,1748,349600,"F",290,4319,673,1
245,20363,143,0,0,326,152,43004,"F",290,361,638,1
246,20368,1874,0,0,1986,2028,1313000,"F",290,2238,698,1
247,20436,134,0,0,143,150,30000,"F",290,162,698,1
248,20436,9470,0,0,8838,10620,2145600,"F",290,10453,694,1
249,20500,1602,0,0,3827,1750,440250,"F",290,4439,631,1
250,19393,175,252,0,23,175,43400,"F",250,40,614,1
251,19393,278,1614,0,45,286,69200,"F",250,96,612,1
252,20358,14,0,0,133,95,22500,"F",250,199,405,1
253,19393,141,1280,0,137,143,34600,"F",411,162,612,1
254,19393,1910,8741,0,1353,2002,450800,"F",450,1585,619,1
255,19393,4063,12170,0,2385,4375,1085000,"F",450,2923,614,1
256,19393,21532,45317,0,15355,22737,5501400,"F",450,18506,612,1
257,20304,1309,0,0,3245,1520,304000,"F",365,3681,673,1
258,20500,2229,0,0,5509,2520,633960,"F",365,6388,631,1
259,20304,0,0,0,191,76,15200,"F",367,218,673,1
260,19977,314,0,0,413,332,77848,"F",409,471,614,1
261,19977,4629,167,0,5733,5012,1094514,"F",409,6544,634,1
262,20436,1287,0,0,1999,1500,300000,"F",409,2283,698,1
263,20436,13523,0,0,16280,14400,2924400,"F",409,18690,694,1
264,20225,116,0,0,1405,570,144400,"F",49,1692,456,1
265,19393,49,173,0,101,350,86800,"F",304,135,614,1
266,19393,128,0,0,51,143,32200,"F",304,65,619,1
267,19393,9727,5786,0,4250,11869,2871800,"F",304,5645,612,1
268,19977,144,0,0,52,150,36640,"F",304,66,694,1
269,19977,2324,316,0,831,2656,641859,"F",304,1167,614,1
270,19977,2665,466,0,851,3043,718383,"F",304,1203,634,1
271,20237,1694,0,0,1957,1800,400248,"F",304,2755,675,1
272,20304,70,0,0,52,70,18740,"F",304,78,631,1
273,20304,1087,0,0,1269,1150,307000,"F",304,1801,629,1
274,20304,1345,0,0,1102,1596,319200,"F",304,1596,673,1
275,20452,193,0,0,152,228,65409,"F",304,226,673,1
276,20452,1203,0,0,996,1330,362748,"F",304,1451,677,1
277,20500,265,0,0,210,280,70440,"F",304,279,631,1
278,20107,0,620058,0,1532,0,1201649,"G",397,1954,622,2
279,21599,312,0,0,2471,408,81600,"F",363,3084,479,1
280,19393,4156,7094,0,5545,4290,1038000,"F",9,6067,612,1
281,21599,506,0,0,3711,624,124800,"F",175,4687,479,1
282,20237,2043,0,0,2716,2600,578136,"F",31,3858,675,1
283,20304,119,0,0,160,150,40500,"F",31,219,629,1
284,19977,7770,7890,8660,16036,8774,1942938,"F",351,17289,614,1
285,20304,9173,0,0,4771,12180,3255800,"F",169,8558,631,1
286,19393,1056,882,0,1340,1287,289800,"F",310,1546,619,1
287,19393,5318,1325,0,4851,5775,1432200,"F",310,5598,614,1
288,19393,12813,12117,0,14467,14157,3425400,"F",310,16717,612,1
289,19790,4,0,0,132,132,34446,"F",310,153,698,1
290,19790,62,0,0,143,72,49760,"L",310,167,622,1
291,19790,129,0,0,152,192,50700,"F",310,173,699,1
292,19790,6096,2003,1784,5287,6480,1767240,"F",310,6050,888,1
293,19790,9463,9093,3993,7994,10429,2736800,"F",310,9443,622,1
294,19790,21215,14547,10815,21350,22923,5541250,"F",310,24814,656,1
295,19977,275,1391,2529,296,300,70337,"F",310,338,694,1
296,19977,358,472,5334,440,384,106955,"F",310,528,698,1
297,19977,3610,2093,21199,3666,4126,1018725,"F",310,4310,614,1
298,19977,4615,3997,41631,4241,5191,1251431,"F",310,5065,634,1
299,20304,62,0,0,183,70,18740,"F",310,210,631,1
300,20304,359,0,0,791,380,76000,"F",310,928,673,1
301,20436,4042,0,0,4502,4500,900000,"F",310,5250,698,1
302,20436,4906,0,0,4443,5400,1083600,"F",310,5404,694,1
303,20452,308,0,0,738,350,95460,"F",310,872,677,1
304,20500,2565,0,0,6287,3010,757230,"F",310,7608,631,1
305,20354,40,0,0,67,50,10841,"F",19,86,675,1
306,19393,506,505,0,411,566,128800,"F",34,479,619,1
307,19393,5118,2890,0,3350,5775,1432200,"F",34,4041,614,1
308,19393,13592,8150,0,10558,15158,3667600,"F",34,12506,612,1
309,19977,642,24,1027,822,1024,282418,"F",34,957,698,1
310,19977,2007,56,1459,1393,2288,577161,"F",34,1698,614,1
311,19977,3070,610,7504,2440,3600,859025,"F",34,2883,694,1
312,19977,3576,27,7209,2540,4463,1200038,"F",34,3137,634,1
313,20304,69,0,0,129,76,15200,"F",34,151,673,1
314,20436,5791,0,0,3036,6900,1380000,"F",34,3878,699,1
315,20452,1616,0,0,2763,1890,515484,"F",34,3439,677,1
316,20500,3165,0,0,4926,3430,862890,"F",34,6122,631,1
317,19393,1296,8211,0,1684,1575,390600,"F",102,1846,614,1
318,19393,2247,6073,0,4045,3003,726600,"F",102,4452,612,1
319,19977,1038,500,9731,1538,1200,284532,"F",102,1777,694,1
320,19977,2543,118,22653,4283,2816,759201,"F",102,4775,698,1
321,20225,343,0,0,1733,1350,342000,"F",216,2489,456,1
322,19917,0,18239,5737,138,0,79755,"G",115,164,622,2
323,20304,1970,0,0,7022,2800,756000,"F",430,8538,629,1
324,20422,286,0,0,369,324,82501,"L",329,473,614,1
325,20304,1537,0,0,3467,1820,487240,"F",375,4181,631,1
326,20452,112,0,0,251,152,43606,"F",375,291,673,1
327,20452,1891,0,0,4255,2240,610944,"F",375,5091,677,1
328,19917,0,1175210,26302,1151,0,1849732,"G",237,1514,691,2
329,19977,154,55,23,66,179,48470,"F",237,94,634,1
330,19977,904,314,5234,461,1162,283069,"F",237,599,614,1
331,19977,1495,719,8615,862,1950,441252,"F",237,1090,694,1
332,19977,6189,6867,17941,3876,7552,2041922,"F",237,5016,698,1
333,20107,0,39954,0,118,0,126608,"G",237,159,622,2
334,20237,100,0,0,209,150,33354,"F",237,287,675,1
335,20304,180,0,0,350,250,64000,"F",237,438,629,1
336,20304,1922,0,0,2194,2356,471200,"F",237,2997,673,1
337,20237,2893,0,0,5351,3700,822732,"F",316,7151,675,1
338,20304,1382,0,0,2811,1900,506000,"F",316,3745,629,1
339,20436,3366,0,0,1551,3960,798000,"F",316,2039,694,1
340,21477,344,0,0,768,450,90000,"F",123,930,675,1
341,19393,1498,2576,0,1552,1716,386400,"F",393,1789,619,1
342,19393,5859,5383,0,4254,6125,1519000,"F",393,4983,614,1
343,19393,12290,18634,0,12072,14014,3390800,"F",393,13881,612,1
344,20304,1860,0,0,3504,2052,410400,"F",393,4266,673,1
345,20436,2602,0,0,1764,3220,644000,"F",393,2095,699,1
346,20436,2728,0,0,2021,2880,578400,"F",393,2405,694,1
347,20452,190,0,0,375,228,65409,"F",393,467,673,1
348,20452,1973,0,0,3833,2099,572760,"F",393,4624,677,1
349,19393,121,944,0,97,143,32200,"F",150,110,619,1
350,19393,3760,3097,0,2102,4025,998200,"F",150,2477,614,1
351,19393,4784,7185,0,3552,5577,1349400,"F",150,4142,612,1
352,19977,555,575,0,356,600,137929,"F",150,443,694,1
353,19977,862,495,0,620,896,226041,"F",150,733,698,1
354,19977,3660,3285,0,2274,4138,992355,"F",150,2817,614,1
355,19977,3729,3280,0,2099,4117,969154,"F",150,2586,634,1
356,20304,1409,0,0,2948,1500,398000,"F",150,3688,629,1
357,20304,2140,0,0,2890,2280,456000,"F",150,3705,673,1
358,19393,5247,5419,0,6571,5600,1388800,"F",204,7284,614,1
359,19393,7873,26489,0,12057,8151,1972200,"F",204,13473,612,1
360,19805,168,428,0,207,181,50200,"F",204,255,699,1
361,19977,150,865,0,194,150,35090,"F",204,215,694,1
362,19977,244,0,2664,440,256,66423,"F",204,491,698,1
363,19977,7491,18225,25930,9732,8234,1865886,"F",204,10944,634,1
364,19977,11333,12356,51072,15000,11940,2842252,"F",204,16654,614,1
365,20409,7713,0,0,11857,8550,2131800,"F",204,13214,694,1
366,19393,142,151,0,213,143,34600,"F",152,230,612,1
367,19393,10912,5342,0,10030,11869,2871800,"F",111,11467,612,1
368,19917,0,153735,0,472,0,432100,"G",111,581,691,2
369,19977,701,89,0,832,896,252096,"F",111,967,698,1
370,20304,444,0,0,1252,500,135000,"F",111,1535,629,1
371,20304,2660,0,0,5414,3192,638400,"F",111,6505,673,1
372,19393,165,190,0,363,286,64400,"F",392,401,619,1
373,19393,10038,25831,0,14799,12155,2941000,"F",392,16477,612,1
374,19393,13200,43786,0,15411,15400,3819200,"F",392,17204,614,1
375,19977,581,62,2205,856,640,164357,"F",392,980,698,1
376,19977,1358,509,8159,1727,1500,363084,"F",392,2046,694,1
377,19977,2741,1405,18722,3171,2988,738198,"F",392,3554,614,1
378,19977,4385,2034,29315,4751,4821,1115121,"F",392,5432,634,1
379,19977,144,181,0,74,150,36804,"F",415,89,694,1
380,19977,623,125,0,295,704,185611,"F",415,356,634,1
381,19977,2272,1529,0,1460,2432,664139,"F",415,1805,698,1
382,19977,7746,5161,0,4221,9284,2256624,"F",415,5301,614,1
383,20304,193,0,0,239,210,56220,"F",415,301,631,1
384,20304,1379,0,0,2622,1550,415000,"F",415,3340,629,1
385,20436,1855,0,0,1016,1950,390000,"F",415,1256,698,1
386,20500,199,0,0,239,210,52830,"F",415,309,631,1
387,21599,346,0,0,2778,392,78400,"F",156,3414,479,1
388,21599,176,0,0,1672,192,38400,"F",90,1986,479,1
389,21599,377,0,0,3411,424,106000,"F",90,4226,458,1
390,19393,274,59,0,345,286,64400,"F",276,392,619,1
391,19393,513,451,0,517,525,130200,"F",276,576,614,1
392,19393,2970,745,0,3727,3146,761200,"F",276,4135,612,1
393,19977,461,4,0,441,750,173288,"F",181,564,694,1
394,19977,3976,92,0,3565,5248,1443020,"F",181,4365,698,1
395,20237,209,0,0,449,250,55590,"F",181,545,675,1
396,20304,58,0,0,89,76,15200,"F",181,109,673,1
397,20304,356,0,0,842,450,118000,"F",181,1073,629,1
398,20436,424,0,0,271,450,90000,"F",181,343,698,1
399,20436,2180,0,0,1102,2340,471600,"F",181,1402,694,1
400,20500,281,0,0,440,350,88050,"F",181,580,631,1
401,19393,1332,3391,0,1408,1430,346000,"F",307,1576,612,1
402,19393,3315,14047,0,2849,3500,868000,"F",307,3262,614,1
403,19977,70,10064,0,151,166,41006,"L",307,168,614,1
404,19977,3223,503,8119,2842,3401,837542,"F",307,3311,634,1
405,19977,5509,3509,21074,5082,5964,1464422,"F",307,5772,614,1
406,20304,365,0,0,790,380,76000,"F",307,919,673,1
407,20436,6024,0,0,4413,6900,1380000,"F",307,5128,699,1
408,20452,70,0,0,139,76,21803,"F",307,164,673,1
409,20452,1222,0,0,2748,1330,362748,"F",307,3233,677,1
410,20500,523,0,0,1167,560,140880,"F",307,1398,631,1
411,19805,30124,4059,34073,28726,33286,9202600,"F",366,33712,699,1
412,19977,571,111,0,621,652,156705,"F",366,730,614,1
413,19977,813,24,0,816,895,219154,"F",366,929,634,1
414,19977,2533,822,0,3187,3000,708842,"F",366,3650,694,1
415,19977,2745,3913,0,4034,3200,876454,"F",366,4688,698,1
416,20304,412,0,0,1020,456,91200,"F",366,1214,673,1
417,20436,4238,0,0,4776,4500,900000,"F",366,5439,698,1
418,19393,254,1128,0,283,286,64400,"F",119,321,619,1
419,19393,3714,21316,0,3055,3850,954800,"F",119,3486,614,1
420,19393,4958,13681,0,5026,5291,1280200,"F",119,5656,612,1
421,19977,503,276,704,538,600,144521,"F",119,613,694,1
422,19977,588,104,180,552,664,165940,"F",119,645,614,1
423,19977,2115,2694,3387,2509,2304,632007,"F",119,2874,698,1
424,20304,690,0,0,1482,760,152000,"F",119,1742,673,1
425,20436,143,0,0,142,150,30000,"F",119,161,698,1
426,20436,4719,0,0,4007,5220,1045200,"F",119,4723,694,1
427,20452,137,0,0,270,152,43606,"F",119,331,673,1
428,20452,1430,0,0,3117,1540,420024,"F",119,3749,677,1
429,21599,247,0,0,4173,448,89600,"F",441,4967,479,1
430,20237,1155,0,0,1747,1400,311304,"F",199,2286,675,1
431,20304,45,0,0,64,50,13500,"F",199,89,629,1
432,20237,769,0,0,315,900,200124,"F",136,732,675,1
